model,subset,role,feature_count,features,metric,mean,sd_across_repeats,repeat_blocks
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,pr_auc,0.974596018453405,0.004932858409132845,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,accuracy,0.9732857142857142,0.005734925132277212,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,balanced_accuracy,0.9565178571428572,0.010889466993709547,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,keyhole_recall,0.9285714285714285,0.020203050891044207,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,conduction_recall,0.9844642857142857,0.003528881907743194,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,false_negative,5.0,1.4142135623730951,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,false_positive,4.35,0.9880869341680844,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,brier_score,0.025949819135336748,0.0022916124339453577,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,roc_auc,0.9331881428248158,0.012542247052789439,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,pr_auc,0.8987398166888578,0.019178291485797635,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,accuracy,0.8856440797230271,0.024186472425274243,20
