idx,n,err,pmean,q20frac,y,D,logh,B1,kh_frames,partition,cfg,TE
74,20,0.0,0.00241355965757748,0.0,0,79.07471000000001,19.869205273399675,1.98320467390322,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
75,20,0.0,0.0005022515965322327,0.0,0,70.98262,19.730575484367332,1.7890376636974938,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
76,20,0.0,0.09493871545766978,0.0,0,74.19824,20.510574532402405,1.371744227338487,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
77,20,0.0,0.3127415473280294,1.0,0,86.94682999999999,20.57645210322566,0.7647688655124604,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
78,20,0.0,0.01161728458407083,0.0,0,94.94726,20.11825666477434,1.2096904242686737,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
79,20,0.0,0.0827665036715132,0.0,0,98.55861,20.2633729873063,1.2975550795627302,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
80,20,0.0,0.9178626405760895,0.05,1,302.1039,20.96279175870226,1.0486875556032726,109,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
81,20,0.0,0.11650259560810242,0.0,0,86.50816,20.45839735218944,1.3172925070389634,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
82,20,0.0,0.0319033704707067,0.05,0,90.95953,20.164235135429752,1.1190588891528876,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
83,20,0.0,0.004568832994067407,0.0,0,74.50152,20.048925919555792,1.4770157183333525,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
84,20,0.0,0.9464529888762343,0.05,1,301.73389999999995,20.936702011785304,1.0848949869378746,154,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
85,20,0.0,0.14507222543027182,0.2,0,77.25837,20.559734052577472,1.0167845891845466,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
86,20,0.0,0.04033133355130758,0.25,0,88.74047,20.28202037388559,0.9694021158221987,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
87,20,0.0,0.9792815179553827,0.95,1,301.7815,21.172783038710023,0.8337675629582765,84,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
88,20,0.0,0.0003300792059349078,0.0,0,62.93174,19.83042327304219,2.3872489145162405,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
89,20,0.0,0.779852956055862,0.6,1,197.1042,20.739254881256468,0.9069016519994644,165,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
90,20,0.0,0.32723801176294387,0.7,0,98.64497,20.588916573963807,0.8895966671977691,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
91,20,0.0,0.2957077640000122,0.95,0,94.89105,20.44177933159951,0.8159129112547633,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
92,20,0.0,0.0025156055672596266,0.0,0,66.43639,20.052843504090035,2.0745204772824186,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
93,20,0.0,0.8671460003501181,1.0,1,270.62339999999995,20.86494911845737,0.7520507368006173,114,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
94,20,0.0,0.0012661891951097459,0.0,0,66.28011000000001,19.955801015999114,2.430467860331299,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
95,20,0.0,0.05079351236281582,0.0,0,91.83977,20.368775985148883,1.2391683093557402,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
96,20,0.0,0.1310963396294767,1.0,0,94.62959000000001,20.47403647066787,0.7914133471407223,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
97,20,0.0,0.012232128962864408,0.0,0,83.4375,20.21189456381736,1.3397302864332008,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
98,20,0.0,0.017327495904169155,0.0,0,84.20674,20.274377415779092,1.572321550143034,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
99,20,0.0,0.02435747281855356,0.0,0,83.76426,20.334409831646198,1.237352647987131,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
100,20,0.0,0.00978132304032897,0.0,0,82.93315,20.21694267305077,1.8128130897191141,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
101,20,0.0,0.04911120647225857,0.0,0,106.0038,20.258832870779123,1.6274092487976348,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
102,20,0.0,0.8398784888939502,0.0,1,287.6517,20.935920491417882,1.2975550795627302,27,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
103,20,0.0,0.2742475049997978,1.0,0,102.5376,20.576388636556285,0.5058587285887961,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
104,20,0.0,0.23243265421932052,1.0,0,98.71385,20.40509649732251,0.5236292277987136,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
