family,model,repeat,fold,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss
glm,M2,1,3,0.9734848484848484,0.9416666666666667,0.9223484848484849,0.04468769417812201,0.21370865985011966
glm,M2,1,4,0.9810606060606061,0.9067956349206349,0.9848484848484849,0.032238913686174014,0.13035997047240303
glm,M2,1,5,1.0,1.0,0.9848484848484849,0.009528416010502283,0.03239943674832314
glm,M2,1,6,1.0,1.0,0.9545454545454546,0.02805564688617475,0.08046589982082183
glm,M2,1,7,0.987012987012987,0.9379251700680272,0.8419913419913421,0.049756078624597265,0.16561424358071392
glm,M2,1,8,0.9956709956709957,0.9821428571428572,0.9285714285714286,0.01953668740126427,0.05937784540629641
glm,M2,1,9,1.0,1.0,1.0,0.0009906575818523242,0.008545445291456052
glm,M2,1,10,0.9956709956709957,0.982142857142857,0.7857142857142857,0.053840464895769116,0.1582172290635308
glm,M2,2,1,0.9621848739495797,0.8523809523809522,0.8991596638655461,0.07287857508169683,0.3454988080294857
glm,M2,2,2,1.0,1.0,0.9852941176470589,0.008470596947488933,0.032233092937762116
glm,M2,2,3,1.0,1.0,0.9375,0.010149004718388284,0.026809417575451633
glm,M2,2,4,1.0,1.0,1.0,0.009174138826905646,0.04122068521132356
glm,M2,2,5,1.0,1.0,0.9375,0.01393913048573778,0.049989425229702955
glm,M2,2,6,0.9956709956709957,0.9821428571428572,0.9285714285714286,0.02107450632271622,0.06500838937405003
glm,M2,2,7,0.9826839826839827,0.9325396825396826,0.8571428571428572,0.043310376590337964,0.12182084747122834
glm,M2,2,8,0.9913419913419914,0.9617346938775508,0.9134199134199135,0.03205576103256938,0.1369251004105896
glm,M2,2,9,0.9956709956709957,0.9821428571428572,0.9285714285714286,0.03425931133460271,0.10567521269972135
glm,M2,2,10,1.0,1.0,0.9848484848484849,0.010820947654445677,0.03462567185053662
glm,M2,3,1,1.0,1.0,1.0,0.0018968955321295336,0.012280293617916459
glm,M2,3,2,0.9789915966386554,0.9276437847866419,0.8571428571428572,0.042639813601229426,0.1976127869381119
glm,M2,3,3,1.0,1.0,0.9696969696969697,0.015164851170194713,0.04648129026716778
glm,M2,3,4,0.981060606060606,0.9381313131313131,0.875,0.04622111179166193,0.13467808593844663
glm,M2,3,5,0.9810606060606061,0.906795634920635,0.9223484848484849,0.03996403156262411,0.1667245327764576
glm,M2,3,6,1.0,1.0,1.0,0.004198178946787946,0.01755636641312216
glm,M2,3,7,1.0,0.9999999999999998,0.9848484848484849,0.010703766958083555,0.0379926494798267
glm,M2,3,8,0.9913419913419914,0.9617346938775511,0.8419913419913421,0.04293337190697622,0.1222476787982522
glm,M2,3,9,0.9870129870129871,0.9478458049886621,0.8419913419913421,0.03439814550582777,0.09305327412348459
glm,M2,3,10,0.9826839826839827,0.9093537414965986,0.9134199134199135,0.03179289940817327,0.13293119247483443
glm,M2,4,1,0.9915966386554622,0.9682539682539681,0.9558823529411764,0.04275251020811026,0.1277274750813219
glm,M2,4,2,1.0,1.0,1.0,0.0005565438303114849,0.006911730718283737
glm,M2,4,3,0.9696969696969697,0.9375,0.875,0.04199297246928607,0.2076194246602063
glm,M2,4,4,1.0,1.0,1.0,0.00916203230010408,0.03418373778155332
glm,M2,4,5,0.9924242424242424,0.9704861111111112,0.8598484848484849,0.03137568238309969,0.0858627687417814
glm,M2,4,6,0.9740259740259741,0.859750566893424,0.8982683982683983,0.03888751224027134,0.14910907710385007
glm,M2,4,7,1.0,1.0,0.9848484848484849,0.008570143840696123,0.03065166705617401
glm,M2,4,8,0.9913419913419914,0.9617346938775511,0.8419913419913421,0.03849211098624244,0.1070698921791325
glm,M2,4,9,0.9913419913419914,0.9617346938775511,0.9696969696969697,0.03250664983225081,0.14529838143027723
glm,M2,4,10,1.0,1.0,0.8571428571428572,0.030716521821967945,0.0827451711486443
glm,M2,5,1,0.9327731092436975,0.7304782519068234,0.7415966386554622,0.1248929035372193,0.5069743433735522
glm,M2,5,2,1.0,1.0,1.0,0.0011064377790667727,0.013610290891953685
glm,M2,5,3,0.9848484848484849,0.9472222222222222,0.9696969696969697,0.02651489845209244,0.07373868044483332
glm,M2,5,4,0.9696969696969696,0.9260416666666667,0.9223484848484849,0.046365964747627726,0.21387358659483718
glm,M2,5,5,1.0,1.0,0.9848484848484849,0.007331684581350709,0.02537278421722096
glm,M2,5,6,1.0,1.0,1.0,0.008788240594966577,0.030572558493851747
glm,M2,5,7,0.9956709956709957,0.982142857142857,0.9134199134199135,0.03933937355696808,0.15443561232893666
glm,M2,5,8,1.0,1.0,1.0,0.005035772778681033,0.022921422614882114
glm,M2,5,9,1.0,1.0,0.9285714285714286,0.012549618736653362,0.042972974086158
glm,M2,5,10,1.0,1.0,0.9285714285714286,0.021111430158008548,0.07067589620142105
glm,M3,1,1,1.0,1.0,0.8571428571428572,0.022905000397472494,0.06768619293746922
glm,M3,1,2,1.0,1.0,1.0,0.010939638731227202,0.047618369970012855
glm,M3,1,3,0.9886363636363636,0.9659090909090909,0.9223484848484849,0.03789846924080291,0.1276494828559005
glm,M3,1,4,0.9810606060606061,0.9067956349206349,0.9223484848484849,0.03582769428868911,0.1339935267890283
