population_row_index,experiment_name,manual_has_keyhole,PLS1,PLS2
96,P-308p624203673_VX-0p258745269308_LS-8p46230110859e-05_ST-352p536460601_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p86442852305e-05_H-19ea1511f8,0,0.2506051157245147,2.4348445607872846
97,P-310p791038761_VX-0p793031296086_LS-6p97064070297e-05_ST-311p244290057_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p08314025792e-06_H-9f078c62f6,0,0.41072666567441707,0.2922388928459526
98,P-311p847977036_VX-0p831533579891_LS-6p59632228328e-05_ST-369p023839283_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p80147419139e-06_H-0602c4a780,0,0.6118938230373553,0.026666717160391262
99,P-319p96920879_VX-0p866402209965_LS-6p35942162539e-05_ST-320p061265262_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56799203364e-06_H-560be51b32,0,0.6861694018619088,-0.14032970210533235
100,P-323p763442528_VX-0p850556183123_LS-6p97450047543e-05_ST-350p102665969_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67172480635e-06_H-fe613e406c,0,0.5226912854506948,0.19110757134674916
101,P-324p489523844_VX-0p639524903021_LS-7p4699050731e-05_ST-392p096101418_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p54328811939e-06_H-eed8ed7ef3,0,0.5420282401018987,1.0040369096509356
102,P-326p931045044_VX-0p255856443683_LS-6p48737236991e-05_ST-399p817710522_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p88547942494e-05_H-9cf0389d20,1,1.249044450632963,1.6601741678531514
103,P-328p176471421_VX-0p746856862244_LS-5p78341655667e-05_ST-308p284457774_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p45923047225e-06_H-354781c6a2,0,1.0578366871453633,-0.021577880839467378
104,P-335p17845091_VX-0p53366627312_LS-7p35439468085e-05_ST-327p916348879_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p03958306155e-06_H-1d842653b1,0,0.6754372623412335,1.2956032799567958
105,P-336p384535968_VX-0p857000372961_LS-5p14827567032e-05_ST-367p720955238_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p62907643359e-06_H-1d842653b1,0,1.3706604516415042,-0.5705587501571668
106,P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1,1,1.3907381506647776,-0.07845263660096363
107,P-340p203296502_VX-0p374609743194_LS-5p54750053524e-05_ST-307p813155606_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p28777232591e-05_H-22f5435fc5,1,1.5289639554280894,0.971687321587551
108,P-341p923576441_VX-0p300981342968_LS-7p54559898543e-05_ST-360p882535069_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60279722173e-05_H-1d842653b1,1,0.8705611027486981,2.06233744229396
109,P-342p674555398_VX-0p462731136977_LS-5p8783513777e-05_ST-328p309527448_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p04253209208e-05_H-add9572a86,1,1.3778570396081662,0.8810831825017968
110,P-347p783460623_VX-0p850325890926_LS-5p3362114496e-05_ST-354p131736173_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67326086915e-06_H-d1ce08951f,0,1.37864850081947,-0.4195428248577571
