population,repeat,arm,threshold,reached,first_true_query_budget,right_censored_at
main_364,12,P1_M3_MARGIN_MONO,0.95,True,18.0,74
main_364,12,P1_M3_MARGIN_MONO,0.97,True,31.0,74
main_364,12,P1_M3_MARGIN_MONO,0.98,False,,74
main_364,12,P2_MONO_BISECTION_M3,0.95,True,29.0,80
main_364,12,P2_MONO_BISECTION_M3,0.97,True,49.0,80
main_364,12,P2_MONO_BISECTION_M3,0.98,True,50.0,80
main_364,12,P3_MONO_EXPECTED_GAIN_M3,0.95,True,18.0,76
main_364,12,P3_MONO_EXPECTED_GAIN_M3,0.97,True,46.0,76
main_364,12,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,76
main_364,13,P0_M3_MARGIN_STANDARD,0.95,True,16.0,120
