population,repeat,arm,correct_resolution_threshold,error_cap,reached,first_true_query_budget,wrong_inference_rate_at_hit
main_364,1,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
main_364,1,P1_M3_MARGIN_MONO,0.8,0.01,True,28.0,0.003745318352059925
main_364,1,P1_M3_MARGIN_MONO,0.9,0.01,True,49.0,0.0035714285714285713
main_364,1,P1_M3_MARGIN_MONO,0.95,0.01,True,63.0,0.007017543859649123
main_364,1,P2_MONO_BISECTION_M3,0.8,0.01,True,38.0,0.00392156862745098
main_364,1,P2_MONO_BISECTION_M3,0.9,0.01,True,54.0,0.0036363636363636364
main_364,1,P2_MONO_BISECTION_M3,0.95,0.01,True,71.0,0.007220216606498195
main_364,1,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,28.0,0.003745318352059925
main_364,1,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,44.0,0.0034965034965034965
main_364,1,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,60.0,0.006944444444444444
main_364,2,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
main_364,2,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
main_364,2,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
main_364,2,P1_M3_MARGIN_MONO,0.8,0.01,True,32.0,0.003816793893129771
main_364,2,P1_M3_MARGIN_MONO,0.9,0.01,True,50.0,0.0035842293906810036
main_364,2,P1_M3_MARGIN_MONO,0.95,0.01,True,62.0,0.006993006993006993
main_364,2,P2_MONO_BISECTION_M3,0.8,0.01,True,37.0,0.0
main_364,2,P2_MONO_BISECTION_M3,0.9,0.01,True,54.0,0.0
main_364,2,P2_MONO_BISECTION_M3,0.95,0.01,True,68.0,0.007142857142857143
main_364,2,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,32.0,0.003816793893129771
main_364,2,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,46.0,0.0035211267605633804
main_364,2,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,61.0,0.006968641114982578
main_364,3,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
main_364,3,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
main_364,3,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
main_364,3,P1_M3_MARGIN_MONO,0.8,0.01,True,35.0,0.007518796992481203
main_364,3,P1_M3_MARGIN_MONO,0.9,0.01,False,,
main_364,3,P1_M3_MARGIN_MONO,0.95,0.01,False,,
main_364,3,P2_MONO_BISECTION_M3,0.8,0.01,True,32.0,0.007407407407407408
main_364,3,P2_MONO_BISECTION_M3,0.9,0.01,True,49.0,0.0071174377224199285
main_364,3,P2_MONO_BISECTION_M3,0.95,0.01,False,,
main_364,3,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,31.0,0.007462686567164179
main_364,3,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,False,,
main_364,3,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,False,,
main_364,4,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
main_364,4,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
main_364,4,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
main_364,4,P1_M3_MARGIN_MONO,0.8,0.01,False,,
main_364,4,P1_M3_MARGIN_MONO,0.9,0.01,False,,
main_364,4,P1_M3_MARGIN_MONO,0.95,0.01,False,,
main_364,4,P2_MONO_BISECTION_M3,0.8,0.01,True,31.0,0.007518796992481203
main_364,4,P2_MONO_BISECTION_M3,0.9,0.01,True,49.0,0.007067137809187279
main_364,4,P2_MONO_BISECTION_M3,0.95,0.01,False,,
main_364,4,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,False,,
main_364,4,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,False,,
main_364,4,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,False,,
main_364,5,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
main_364,5,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
main_364,5,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
main_364,5,P1_M3_MARGIN_MONO,0.8,0.01,False,,
main_364,5,P1_M3_MARGIN_MONO,0.9,0.01,False,,
main_364,5,P1_M3_MARGIN_MONO,0.95,0.01,False,,
main_364,5,P2_MONO_BISECTION_M3,0.8,0.01,False,,
main_364,5,P2_MONO_BISECTION_M3,0.9,0.01,False,,
main_364,5,P2_MONO_BISECTION_M3,0.95,0.01,False,,
main_364,5,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,False,,
main_364,5,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,False,,
main_364,5,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,False,,
main_364,6,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
main_364,6,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
main_364,6,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
main_364,6,P1_M3_MARGIN_MONO,0.8,0.01,True,32.0,0.003816793893129771
main_364,6,P1_M3_MARGIN_MONO,0.9,0.01,True,49.0,0.0035714285714285713
main_364,6,P1_M3_MARGIN_MONO,0.95,0.01,True,62.0,0.006993006993006993
main_364,6,P2_MONO_BISECTION_M3,0.8,0.01,True,43.0,0.00398406374501992
main_364,6,P2_MONO_BISECTION_M3,0.9,0.01,True,60.0,0.003703703703703704
main_364,6,P2_MONO_BISECTION_M3,0.95,0.01,True,76.0,0.007352941176470588
main_364,6,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,35.0,0.0
main_364,6,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,50.0,0.0035335689045936395
main_364,6,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,64.0,0.007042253521126761
main_364,7,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
main_364,7,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
main_364,7,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
